Id,URL,Title,Audio,Captions,Polarity,Pickle
29,https://www.youtube.com/watch?v=ptD0T-ZcF2M,Steve Jobs Motivational Speech | Inspirational Video | Entrepreneur Motivation | Startup Stories,audio/29.wav,subtitles/29.srt,polarity_csv/polarity_29.csv,pickle_lists/polarity_29.p
30,https://www.youtube.com/watch?v=Kr68Ih7HGA0,Ex-Guantanamo Bay detainee tells his story,audio/30.wav,subtitles/30.srt,polarity_csv/polarity_30.csv,pickle_lists/polarity_30.p
31,https://www.youtube.com/watch?v=Gjy_FKODsTM,Gordon Ramsay Uncensored Rapid Fire Highlights 1,audio/31.wav,subtitles/31.srt,polarity_csv/polarity_31.csv,pickle_lists/polarity_31.p
32,https://www.youtube.com/watch?v=UQ3w99trVUk&t=56s,Mac Miller - Stopped Making Excuses (Documentary),audio/32.wav,subtitles/32.srt,polarity_csv/polarity_32.csv,pickle_lists/polarity_32.p
33,https://www.youtube.com/watch?v=GrsJDy8VjZk,Quentin Tarantino interview: 'I'm shutting your butt down!',audio/33.wav,subtitles/33.srt,polarity_csv/polarity_33.csv,pickle_lists/polarity_33.p
34,https://www.youtube.com/watch?v=vpZQJoZIwZ4,Mike Tyson Crazy Angry - Interviews Gone Wrong - Mad Montage 2014 HD,audio/34.wav,subtitles/34.srt,polarity_csv/polarity_34.csv,pickle_lists/polarity_34.p
35,https://www.youtube.com/watch?v=1cUoza6HLjg,This Is MIKE TYSON - Uncomfortable Moments For Reporters. LOSES CONTROL,audio/35.wav,subtitles/35.srt,polarity_csv/polarity_35.csv,pickle_lists/polarity_35.p
36,https://www.youtube.com/watch?v=aXMRw0ZmI-A,KANYE WEST Flips Out on Sway in The Morning Interview HD,audio/36.wav,subtitles/36.srt,polarity_csv/polarity_36.csv,pickle_lists/polarity_36.p
37,https://www.youtube.com/watch?v=EkSNlp8gB3Y,I said no 20 times'-military rape victims speak out,audio/37.wav,subtitles/37.srt,polarity_csv/polarity_37.csv,pickle_lists/polarity_37.p
38,https://www.youtube.com/watch?v=Vq8NgepsFg8,Lance Armstrong on Telling His Son the Truth | Oprah's Next Chapter | Oprah Winfrey Network,audio/38.wav,subtitles/38.srt,polarity_csv/polarity_38.csv,pickle_lists/polarity_38.p
39,https://www.youtube.com/watch?v=9ngtXPP5krU,Cold Blooded Woman Angela Simpson Interview After Getting Life In Prison!,audio/39.wav,subtitles/39.srt,polarity_csv/polarity_39.csv,pickle_lists/polarity_39.p
42,https://www.youtube.com/watch?v=UMUXn03fXPA,"Drake Talks About Success and the Drive to be """"""""Number One""""""""""""",audio/42.wav,subtitles/42.srt,polarity_csv/polarity_42.csv,"pickle_lists/polarity_42.p"""
43,https://www.youtube.com/watch?v=k6VKNuq0Ep4,Logic Details Growing up with Parents Addicted to Drugs,audio/43.wav,subtitles/43.srt,polarity_csv/polarity_43.csv,pickle_lists/polarity_43.p
44,https://www.youtube.com/watch?v=Q8RHxv0bxzo,One of the most racist moments live on television. smh this is crazy,audio/44.wav,subtitles/44.srt,polarity_csv/polarity_44.csv,pickle_lists/polarity_44.p
45,https://www.youtube.com/watch?v=nX2e7WYmHWQ,DEBATE: How racist is Trump?,audio/45.wav,subtitles/45.srt,polarity_csv/polarity_45.csv,pickle_lists/polarity_45.p
46,https://www.youtube.com/watch?v=WWfmg_eRkQo,A Victim Of Child Rape Tells Her Story | This Morning,audio/46.wav,subtitles/46.srt,polarity_csv/polarity_46.csv,pickle_lists/polarity_46.p
47,https://www.youtube.com/watch?v=8vgpWyAcqO4,Will Ferrell: Between Two Ferns with Zach Galifianakis,audio/47.wav,subtitles/47.srt,polarity_csv/polarity_47.csv,pickle_lists/polarity_47.p
48,https://www.youtube.com/watch?v=y9Trdafp83U,There's more to life than being happy | Emily Esfahani Smith,audio/48.wav,subtitles/48.srt,polarity_csv/polarity_48.csv,pickle_lists/polarity_48.p
49,https://www.youtube.com/watch?v=p0p1fjLPjYQ,Matthew McConaughey - This Is Why You're Not Happy | One Of The Most Eye Opening Speeches,audio/49.wav,subtitles/49.srt,polarity_csv/polarity_49.csv,pickle_lists/polarity_49.p
50,https://www.youtube.com/watch?v=ZwGEQcFo9RE,Money can buy happiness: Michael Norton at TEDxCambridge 2011,audio/50.wav,subtitles/50.srt,polarity_csv/polarity_50.csv,pickle_lists/polarity_50.p
51,https://www.youtube.com/watch?v=r_80z_VxPS0,Drake x LeBron x Chris Bosh | WHO'S INTERVIEWING WHO?,audio/51.wav,subtitles/51.srt,polarity_csv/polarity_51.csv,pickle_lists/polarity_51.p
52,https://www.youtube.com/watch?v=4YhpWZCdiZc,Psychiatric Interviews for Teaching: Depression,audio/52.wav,subtitles/52.srt,polarity_csv/polarity_52.csv,pickle_lists/polarity_52.p
53,https://www.youtube.com/watch?v=GkxJpJrolMo,Mia Khalifa 's 2016 Interview,audio/53.wav,subtitles/53.srt,polarity_csv/polarity_53.csv,pickle_lists/polarity_53.p
54,https://www.youtube.com/watch?v=MQFcKlEVMas,Jordan Peterson on the legalization of marijuana in Canada,audio/54.wav,subtitles/54.srt,polarity_csv/polarity_54.csv,pickle_lists/polarity_54.p
55,https://www.youtube.com/watch?v=R3GYI-Kpf5M,Street Interview w/ Cocaine Addict,audio/55.wav,subtitles/55.srt,polarity_csv/polarity_55.csv,pickle_lists/polarity_55.p
56,https://www.youtube.com/watch?v=56AEEYdBIfU,Ozzy Osbourne on Health- Drugs- and the Age of Computers - Back & Forth (Part 1/3),audio/56.wav,subtitles/56.srt,polarity_csv/polarity_56.csv,pickle_lists/polarity_56.p
57,https://www.youtube.com/watch?v=JmyWvjszBOw,Boots Riley - How Capitalism Needed Racism To Operate (247HH Exclusive),audio/57.wav,subtitles/57.srt,polarity_csv/polarity_57.csv,pickle_lists/polarity_57.p
58,https://www.youtube.com/watch?v=59MO1X8dLLQ,Teen Convicted Of Murdering Mom With Sledgehammer Speaks Out,audio/58.wav,subtitles/58.srt,polarity_csv/polarity_58.csv,pickle_lists/polarity_58.p
59,https://www.youtube.com/watch?v=1c-3FQap7iw,Steve Carell: Between Two Ferns with Zach Galifianakis,audio/59.wav,subtitles/59.srt,polarity_csv/polarity_59.csv,pickle_lists/polarity_59.p
60,https://www.youtube.com/watch?v=6dwsYWF7TXI,Jordan Peterson Shares His Thoughts on Hitler,audio/60.wav,subtitles/60.srt,polarity_csv/polarity_60.csv,pickle_lists/polarity_60.p
61,https://www.youtube.com/watch?v=-8UVqtNACNw,How George Lucas Really Felt About The Last Jedi,audio/61.wav,subtitles/61.srt,polarity_csv/polarity_61.csv,pickle_lists/polarity_61.p
62,https://www.youtube.com/watch?v=PBex1Pv8qKY,How to Overcome and Learn From Disappointment- James McCormick,audio/62.wav,subtitles/62.srt,polarity_csv/polarity_62.csv,pickle_lists/polarity_62.p
63,https://www.youtube.com/watch?v=hjARRVbVHok,momondo - Dear mom and dad (2017),audio/63.wav,subtitles/63.srt,polarity_csv/polarity_63.csv,pickle_lists/polarity_63.p
64,https://www.youtube.com/watch?v=uVPZ-V0EyyM,Why Dr. Phil Abruptly Ends Interview And Asks Guest To Leave Stage,audio/64.wav,subtitles/64.srt,polarity_csv/polarity_64.csv,pickle_lists/polarity_64.p
