@RELATION svm5Classes
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {positive,neutral,negative}

@DATA
0.108292,0.032395,3.179193,0.201482,0.204153,0.582225,0.019193,0.160729,-24.317247,2.545683,-0.002219,-0.605132,-0.525818,0.512755,-0.077732,0.013431,-0.123783,0.026344,-0.041570,-0.072685,-0.295776,0.034335,0.015547,0.018969,0.005104,0.007251,0.007883,0.014726,0.007715,0.011419,0.021954,0.040913,0.007931,0.026001,0.089572,0.023900,0.154413,0.076451,0.029904,0.365871,0.010451,0.122710,1.338816,0.689825,0.507575,0.375794,0.377814,0.356086,0.378863,0.248050,0.264538,0.276848,0.271474,0.249701,0.351146,0.036302,0.020422,0.022239,0.007523,0.008419,0.010040,0.018892,0.011406,0.018584,0.019995,0.047012,0.007543,0.010129,positive
0.122486,0.013338,2.961841,0.244177,0.244895,0.780838,0.014523,0.201167,-26.140559,2.619846,0.280490,0.099374,-0.053281,0.296162,0.131141,0.016202,0.107998,0.039453,0.013340,-0.019955,0.093073,0.007226,0.003939,0.068366,0.012557,0.035437,0.011372,0.055072,0.003560,0.007275,0.011295,0.015244,0.005825,0.034929,0.097072,0.009107,0.501961,0.102887,0.029371,0.744800,0.010803,0.230134,1.632305,0.878875,0.669801,0.379165,0.445178,0.332584,0.366880,0.220979,0.212777,0.264366,0.196984,0.223026,0.209899,0.011076,0.005282,0.084450,0.017313,0.034133,0.020546,0.062300,0.007387,0.010231,0.009201,0.019265,0.010783,0.022420,positive
0.139761,0.032284,2.870164,0.229353,0.238134,0.739584,0.013060,0.178484,-24.812160,2.752377,0.000662,0.166603,-0.231560,0.270037,0.173410,-0.092024,0.025042,0.012014,-0.128984,0.101355,0.092770,0.012078,0.006772,0.036960,0.023760,0.036136,0.022433,0.032378,0.001434,0.008012,0.012849,0.011838,0.008643,0.025745,0.103487,0.027990,0.389276,0.096120,0.044775,0.593829,0.008164,0.213458,2.276957,0.732035,0.696257,0.519193,0.598314,0.412117,0.278878,0.294669,0.314121,0.241841,0.226605,0.172973,0.208955,0.014971,0.006596,0.045026,0.040596,0.034062,0.027555,0.026067,0.001985,0.010194,0.015443,0.008588,0.009591,0.011368,positive
0.115583,0.012681,3.103626,0.220994,0.231187,0.875323,0.012607,0.190481,-25.424733,2.096632,-0.326452,0.079259,-0.300005,0.332038,0.115001,-0.197285,0.095648,0.248587,-0.098848,-0.070896,-0.111034,0.020416,0.005367,0.039427,0.006857,0.015632,0.016450,0.035795,0.004558,0.009554,0.017091,0.034625,0.012459,0.029737,0.072952,0.006477,0.256209,0.068844,0.030793,0.631244,0.007884,0.167754,1.085743,0.780113,0.626867,0.282936,0.429238,0.313814,0.325800,0.292895,0.304005,0.257655,0.216510,0.272883,0.259354,0.019046,0.008359,0.047268,0.009543,0.018099,0.017799,0.034587,0.011025,0.013301,0.019783,0.032119,0.013364,0.014588,positive
0.118371,0.028501,3.039721,0.201687,0.208542,0.854532,0.014998,0.161647,-24.618680,2.117687,-0.870836,-0.215422,-0.330030,0.154725,0.206485,-0.204305,0.001647,0.096453,-0.164603,0.072958,-0.106745,0.011722,0.006492,0.017636,0.012435,0.007917,0.014526,0.023014,0.007461,0.018038,0.022319,0.018870,0.009222,0.020088,0.057721,0.023681,0.309699,0.053761,0.036322,0.389646,0.008900,0.082623,1.916780,0.750934,0.564484,0.334140,0.421107,0.261943,0.305372,0.282238,0.260175,0.232369,0.229557,0.186802,0.268147,0.014344,0.009389,0.020463,0.015840,0.009813,0.019196,0.032395,0.013720,0.021760,0.025711,0.018852,0.013310,0.008549,positive
0.099875,0.028345,2.958776,0.205854,0.241392,0.421833,0.013912,0.112116,-25.423745,3.220258,-0.184364,-0.233014,-0.213185,0.306627,0.179105,-0.031887,-0.108223,0.025789,-0.042386,0.071919,0.010621,0.018795,0.006103,0.044837,0.011176,0.049340,0.020245,0.025910,0.002486,0.008149,0.011143,0.017427,0.014100,0.027071,0.061169,0.030986,0.309955,0.079660,0.047847,0.334778,0.006894,0.130804,2.316530,0.705046,0.678751,0.285778,0.348207,0.256718,0.324885,0.273050,0.281024,0.244831,0.240431,0.320561,0.293334,0.023919,0.008994,0.046388,0.011094,0.036736,0.028106,0.015463,0.002615,0.011890,0.012792,0.020710,0.023252,0.009294,positive
0.109387,0.023264,2.971925,0.199808,0.219094,0.572640,0.017485,0.131292,-25.765359,2.671960,-0.481018,-0.423378,-0.322973,0.083164,0.126088,-0.114929,-0.051847,0.122747,-0.072444,0.104148,-0.056735,0.014519,0.004511,0.017613,0.010590,0.016248,0.012634,0.020576,0.014038,0.016172,0.027242,0.027719,0.008419,0.022655,0.080379,0.020564,0.349754,0.074240,0.041650,0.489898,0.009645,0.131588,3.175141,0.877658,0.940501,0.322824,0.517381,0.354240,0.300951,0.256303,0.289800,0.250268,0.186326,0.216646,0.203084,0.026788,0.007563,0.024129,0.016836,0.020173,0.022820,0.024880,0.034470,0.017271,0.027180,0.023532,0.010491,0.011243,positive
0.161973,0.031886,3.166748,0.255041,0.216739,1.358893,0.007838,0.247887,-23.570183,0.364506,-1.139617,-0.028096,-0.042084,0.169999,-0.190610,0.016452,-0.021450,-0.003630,-0.108815,0.127427,-0.002297,0.010473,0.010902,0.018846,0.008844,0.014213,0.014882,0.010287,0.004548,0.009798,0.010697,0.011588,0.008415,0.016012,0.039647,0.016415,0.106071,0.038734,0.022130,0.387633,0.003420,0.088700,1.077321,0.809407,0.463780,0.299469,0.289588,0.304150,0.274301,0.259616,0.217831,0.228215,0.185805,0.195783,0.175652,0.013308,0.011400,0.022057,0.010267,0.013276,0.022343,0.008402,0.006835,0.011654,0.011150,0.015593,0.009733,0.009955,positive
0.195479,0.033082,2.910004,0.287725,0.249090,1.028376,0.012340,0.329406,-25.965646,3.005023,0.439187,-0.084284,-0.331208,0.121226,0.307745,0.078122,0.265822,0.080823,-0.116646,0.097507,-0.039751,0.021943,0.008553,0.053168,0.021539,0.030933,0.004382,0.018883,0.001031,0.005006,0.010319,0.018156,0.004961,0.019826,0.141452,0.036313,0.362444,0.142663,0.037682,0.891550,0.008039,0.284620,2.476318,1.170783,0.516961,0.238533,0.492958,0.264386,0.254596,0.159017,0.259692,0.239815,0.201965,0.160346,0.143010,0.019235,0.011247,0.035480,0.022339,0.025097,0.003215,0.014959,0.000933,0.004829,0.007824,0.016057,0.005656,0.009202,positive
0.122226,0.016029,2.875220,0.220564,0.228709,0.752299,0.011460,0.215417,-26.924808,2.960926,0.021069,0.209102,-0.333930,0.111795,0.232676,0.085509,0.113526,0.159009,0.025783,-0.083564,0.116219,0.030040,0.004548,0.085905,0.013355,0.026425,0.004747,0.018681,0.002794,0.007245,0.011085,0.014172,0.011237,0.028317,0.108830,0.021251,0.427160,0.118215,0.051488,0.662258,0.007714,0.235474,2.406466,0.979300,0.583845,0.319212,0.389024,0.303547,0.243570,0.231478,0.231719,0.163297,0.181732,0.205016,0.182427,0.023118,0.004936,0.035248,0.011439,0.017487,0.003979,0.012292,0.004402,0.004135,0.010880,0.008701,0.021352,0.010507,positive
